symbol		code		bin(code)
0		48		00110000
1		49		00110001
2		50		00110010
3		51		00110011
4		52		00110100
5		53		00110101
6		54		00110110
7		55		00110111
8		56		00111000
9		57		00111001
10		58		00111010
11		59		00111011
12		60		00111100
13		61		00111101
14		62		00111110
15		63		00111111
16		64		01000000
17		65		01000001
18		66		01000010
19		67		01000011
20		68		01000100
21		69		01000101
22		70		01000110
23		71		01000111
24		72		01001000
25		73		01001001
26		74		01001010
27		75		01001011
28		76		01001100
29		77		01001101
30		78		01001110
31		79		01001111
32		80		01010000
33		81		01010001
34		82		01010010
35		83		01010011
36		84		01010100
37		85		01010101
38		86		01010110
39		87		01010111
40		88		01011000
41		89		01011001
42		90		01011010
43		91		01011011
44		92		01011100
45		93		01011101
46		94		01011110
47		95		01011111
48		96		01100000
49		97		01100001
50		98		01100010
51		99		01100011
52		100		01100100
53		101		01100101
54		102		01100110
55		103		01100111
56		104		01101000
57		105		01101001
58		106		01101010
59		107		01101011
60		108		01101100
61		109		01101101
62		110		01101110
63		111		01101111
64		112		01110000
65		113		01110001
66		114		01110010
67		115		01110011
68		116		01110100
69		117		01110101
70		118		01110110
71		119		01110111
72		120		01111000
73		121		01111001
74		122		01111010
75		123		01111011
76		124		01111100
77		125		01111101
78		126		01111110
79		127		01111111
80		128		10000000
81		129		10000001
82		130		10000010
83		131		10000011
84		132		10000100
85		133		10000101
86		134		10000110
87		135		10000111
88		136		10001000
89		137		10001001
90		138		10001010
91		139		10001011
92		140		10001100
93		141		10001101
94		142		10001110
95		143		10001111
96		144		10010000
97		145		10010001
98		146		10010010
99		147		10010011
100		148		10010100
101		149		10010101
102		150		10010110
103		151		10010111
104		152		10011000
105		153		10011001
106		154		10011010
107		155		10011011
108		156		10011100
109		157		10011101
110		158		10011110
111		159		10011111
112		160		10100000
113		161		10100001
114		162		10100010
115		163		10100011
116		164		10100100
117		165		10100101
118		166		10100110
119		167		10100111
120		168		10101000
121		169		10101001
122		170		10101010
123		171		10101011
124		172		10101100
125		173		10101101
126		174		10101110
127		175		10101111
128		176		10110000
129		177		10110001
130		178		10110010
131		179		10110011
132		180		10110100
133		181		10110101
134		182		10110110
135		183		10110111
136		184		10111000
137		185		10111001
138		186		10111010
139		187		10111011
140		188		10111100
141		189		10111101
142		190		10111110
143		191		10111111
144		400		110010000
145		401		110010001
146		402		110010010
147		403		110010011
148		404		110010100
149		405		110010101
150		406		110010110
151		407		110010111
152		408		110011000
153		409		110011001
154		410		110011010
155		411		110011011
156		412		110011100
157		413		110011101
158		414		110011110
159		415		110011111
160		416		110100000
161		417		110100001
162		418		110100010
163		419		110100011
164		420		110100100
165		421		110100101
166		422		110100110
167		423		110100111
168		424		110101000
169		425		110101001
170		426		110101010
171		427		110101011
172		428		110101100
173		429		110101101
174		430		110101110
175		431		110101111
176		432		110110000
177		433		110110001
178		434		110110010
179		435		110110011
180		436		110110100
181		437		110110101
182		438		110110110
183		439		110110111
184		440		110111000
185		441		110111001
186		442		110111010
187		443		110111011
188		444		110111100
189		445		110111101
190		446		110111110
191		447		110111111
192		448		111000000
193		449		111000001
194		450		111000010
195		451		111000011
196		452		111000100
197		453		111000101
198		454		111000110
199		455		111000111
200		456		111001000
201		457		111001001
202		458		111001010
203		459		111001011
204		460		111001100
205		461		111001101
206		462		111001110
207		463		111001111
208		464		111010000
209		465		111010001
210		466		111010010
211		467		111010011
212		468		111010100
213		469		111010101
214		470		111010110
215		471		111010111
216		472		111011000
217		473		111011001
218		474		111011010
219		475		111011011
220		476		111011100
221		477		111011101
222		478		111011110
223		479		111011111
224		480		111100000
225		481		111100001
226		482		111100010
227		483		111100011
228		484		111100100
229		485		111100101
230		486		111100110
231		487		111100111
232		488		111101000
233		489		111101001
234		490		111101010
235		491		111101011
236		492		111101100
237		493		111101101
238		494		111101110
239		495		111101111
240		496		111110000
241		497		111110001
242		498		111110010
243		499		111110011
244		500		111110100
245		501		111110101
246		502		111110110
247		503		111110111
248		504		111111000
249		505		111111001
250		506		111111010
251		507		111111011
252		508		111111100
253		509		111111101
254		510		111111110
255		511		111111111
256		0		0000000
257		1		0000001
258		2		0000010
259		3		0000011
260		4		0000100
261		5		0000101
262		6		0000110
263		7		0000111
264		8		0001000
265		9		0001001
266		10		0001010
267		11		0001011
268		12		0001100
269		13		0001101
270		14		0001110
271		15		0001111
272		16		0010000
273		17		0010001
274		18		0010010
275		19		0010011
276		20		0010100
277		21		0010101
278		22		0010110
279		23		0010111
280		192		11000000
281		193		11000001
282		194		11000010
283		195		11000011
284		196		11000100
285		197		11000101
286		198		11000110
287		199		11000111
